sentiment,total_trades,win_rate,net_pnl,total_volume
Extreme Fear,21400,0.3684579439252336,715221.6145506131,114484261.44
Extreme Greed,39992,0.46769353870774155,2688140.64520785,124465164.57
Fear,61837,0.4115173763280884,3264698.4929678454,483324789.79
Greed,50303,0.3912490308729102,2087030.5809718317,288582494.72
Neutral,37686,0.39590298784694583,1253546.4072461291,180242063.08
